Run #	Config	Date/Time	RunType	Beam Mode	Beam Current	Beam Energy	Target	Log entries (HALOG, HAPLOG)	Run analyzed?	Comment	Raster X/Y	Helicity	IHWP setting	SAM 1 HV	SAM 2 HV	SAM 3 HV	SAM 4 HV	SAM 5 HV	SAM 6 HV	SAM 7 HV	SAM 8 HV
1372	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1373	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1374	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1375	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1376	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Current went to 50 uA at end of run	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1377	ALL_PREX	3/1	Beam On	cw	50	2.2 GeV	Tungsten (2.8%)				1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1378	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			RTP Cell Failure 	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1379	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)				1.5mmx5mm	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1380-1385	ALL_PREX	3/2  12:37 - 3/2 20:34	junk							online panguin dev											
1386		3/2	Beam On	Cw	30	2.2 GeV	Tungsten (2.8%)		Y		1.5mm*5mm	30Hz, Quartet		OFF	73	560	260	490	75	510	240
1387		3/3	Beam On	Cw	30	2.2 GeV	Tungsten (2.8%)	https://ace.phys.virginia.edu:80/HAPPEX/3646	Y		1.5mm*5mm	30Hz, Quartet		OFF	73	560	260	490	75	500	250
1388		3/3	Beam On	Cw	30	2.2 GeV	Tungsten (2.8%)	https://ace.phys.virginia.edu:80/HAPPEX/3647	Y		1.5mm*5mm	30Hz, Quartet		OFF	73	560	260	490	75	500	260
																					
1390	ALL_PREX	3/3/19	Junk/Test							Check to see if starts properly	1.5mm * 5mm	30Hz, Quartet	out	OFF	73	560	260	490	75	500	260
1391	ALL_PREX	3/3/19	Beam On	Cw	30	2.2 GeV	Tungsten (2.8%)		Y		1.5mm * 5mm	30Hz, Quartet	out	OFF	73	560	260	490	75	500	260
1392	ALL_PREX	3/3/19	junk/240Hz equivalent																		
1393	ALL_PREX	3/3/19	junk/240Hz equivalent																		
																					
1395	ALL_PREX	3/4/2019	junk	cw		2.2 GeV	Tungsten (2.8%)			check feedback		30Hz,Quartet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1396	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1397	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1398	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1399	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1400	ALL_PREX	3/4/2019	junk	cw		2.2 GeV	Tungsten (2.8%)			test		30Hz,quad	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1401	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		30Hz,quad	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1402	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1403	ALL_PREX		junk	cw		2.2 GeV	Tungsten (2.8%)			test		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1404	ALL_PREX		Calibration	cw	25,30,35	2.2 GeV	Tungsten (2.8%)			current calib, 25,30,35		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1405	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback to minimize hallA Aq,120 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1406	ALL_PREX	3/4/2019	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 119 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1407	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			RTP voltages way off		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1408	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 119 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
